trade_date,h.1,h.2,h.3,h.4,h.5
2004-12-30,0.31215810724513654,0.32080625787739125,0.3294223882696676,0.33800661697861556,0.34655906212192295
2004-12-31,0.3037200765183503,0.31243137571250773,0.3211101943120231,0.32975665342271593,0.33837087369885566
2005-01-03,0.31348009887779715,0.3222326662431308,0.33095180526130535,0.33963764360393384,0.34829030845501796
2005-01-04,0.43313589669902464,0.4416660167303439,0.4501606692342111,0.45862000168164657,0.4670441609304982
2005-01-05,0.4539291216940197,0.4623818334165095,0.470799627678421,0.47918264872092703,0.4875310401893521
2005-01-06,0.440836536394032,0.4492774800729135,0.4576842647128727,0.4660570285496311,0.4743959092594942
2005-01-07,0.41821098033032794,0.42665295054729746,0.43506161578559743,0.44343710743891623,0.45177955638257233
2005-01-10,0.4057188848994499,0.41415917369891136,0.42256680891542986,0.4309419168783888,0.43928462342843133
2005-01-11,0.4286875352389819,0.43708734971782814,0.44545458578317254,0.4537893697893564,0.4620918276006599
2005-01-12,0.4103461838372866,0.41893460779402264,0.42748854284679544,0.43600812749418194,0.4444934996785844
2005-01-13,0.4483342331429101,0.4569306391814608,0.46549109897271757,0.4740157628274833,0.4825047804280299
2005-01-14,0.43766729778496294,0.4462654107026318,0.4548278735022601,0.4633548339989474,0.47184643939491144
2005-01-18,0.484334672725392,0.4928283216787621,0.5012862393641117,0.5097085760965198,0.5180954815587168
2005-01-19,0.5574156482229978,0.5658549062868987,0.5742567536529604,0.5826213561604429,0.5909488789134513
2005-01-20,0.5603770296537753,0.5688569351710029,0.5772986332891459,0.585702296156979,0.5940680951476368
2005-01-21,0.5621351695995739,0.5705966185039861,0.5790199325916543,0.5874052837319905,0.5957528430198102
2005-01-24,0.5314993106607897,0.5400027934651221,0.5484685486926433,0.556896743730068,0.5652875452214633
2005-01-25,0.5010690918582823,0.5096182763186583,0.5181301128221666,0.5266047645270462,0.5350423938787633
2005-01-26,0.47372180538943537,0.48230016922969,0.49084180605526934,0.4993468731075346,0.507815526954641
